arch;seed;val_score;test_score
const,max,elu,1,128,cos,sum,linear,1;42.0;0.664;0.669
const,max,elu,1,128,gat,mlp,leaky_relu,1;19.0;0.61;0.5920000000000001
const,max,elu,1,128,gat,sum,leaky_relu,2;10.0;0.642;0.647
const,max,elu,1,128,gat,sum,tanh,1;19.0;0.688;0.6920000000000001
const,max,elu,1,128,gat_sym,sum,elu,4;123.0;0.616;0.687
const,max,elu,1,16,const,mlp,softplus,6;79.0;0.368;0.382
const,max,elu,1,16,cos,max,relu,16;42.0;0.322;0.328
const,max,elu,1,16,gat_sym,mlp,sigmoid,4;123.0;0.34;0.365
const,max,elu,1,256,const,sum,tanh,1;19.0;0.672;0.684
const,max,elu,1,64,cos,sum,tanh,1;19.0;0.6859999999999999;0.703
const,max,elu,1,64,gat,sum,tanh,6;19.0;0.632;0.672
const,max,elu,1,64,generalized_linear,max,elu,4;10.0;0.562;0.542
const,max,elu,1,64,linear,sum,relu,1;42.0;0.614;0.623
const,max,elu,1,8,gat,max,sigmoid,16;79.0;0.172;0.182
const,max,elu,16,128,const,max,tanh,6;79.0;0.61;0.626
const,max,elu,16,128,gat_sym,sum,linear,2;10.0;0.654;0.6679999999999999
const,max,elu,16,128,gcn,mean,softplus,16;10.0;0.262;0.28
const,max,elu,16,128,generalized_linear,sum,elu,1;19.0;0.6559999999999999;0.6779999999999999
const,max,elu,16,16,gat_sym,mean,relu,8;79.0;0.4;0.4
const,max,elu,16,32,cos,sum,linear,6;123.0;0.588;0.662
const,max,elu,16,32,generalized_linear,max,leaky_relu,6;123.0;0.549;0.526
const,max,elu,16,32,generalized_linear,sum,linear,2;10.0;0.626;0.664
const,max,elu,16,4,gcn,mlp,relu,1;123.0;0.536;0.5660000000000001
const,max,elu,16,4,generalized_linear,mean,sigmoid,4;79.0;0.251;0.2995
const,max,elu,16,64,const,max,relu6,8;42.0;0.608;0.612
const,max,elu,16,64,const,mlp,elu,6;42.0;0.506;0.501
const,max,elu,16,64,const,sum,relu6,8;42.0;0.6446666666666666;0.6576666666666666
const,max,elu,16,64,gat,mean,relu6,1;79.0;0.21;0.224
const,max,elu,16,64,gat_sym,sum,relu6,8;42.0;0.661;0.661
const,max,elu,16,64,gcn,sum,relu6,8;42.0;0.672;0.672
const,max,elu,2,128,const,sum,relu6,8;79.0;0.65;0.6559999999999999
const,max,elu,2,128,gat,sum,sigmoid,2;10.0;0.66;0.655
const,max,elu,2,16,gat,mean,relu6,1;123.0;0.534;0.544
const,max,elu,2,32,gat_sym,sum,relu,6;123.0;0.59;0.591
const,max,elu,2,4,const,max,softplus,8;79.0;0.3720000000000001;0.392
const,max,elu,2,4,const,sum,relu,6;19.0;0.44;0.444
const,max,elu,2,64,cos,max,linear,6;19.0;0.314;0.306
const,max,elu,2,8,gat_sym,sum,sigmoid,6;79.0;0.31;0.404
const,max,elu,4,128,const,mean,relu,6;123.0;0.058;0.077
const,max,elu,4,128,gat,sum,elu,2;79.0;0.648;0.7
const,max,elu,4,128,gat_sym,sum,elu,6;123.0;0.546;0.64
const,max,elu,4,16,gat,mlp,tanh,6;79.0;0.394;0.4270000000000001
const,max,elu,4,16,gat_sym,sum,tanh,6;42.0;0.654;0.662
const,max,elu,4,256,gat_sym,mlp,leaky_relu,1;79.0;0.562;0.568
const,max,elu,4,256,gat_sym,sum,linear,16;42.0;0.574;0.684
const,max,elu,4,256,generalized_linear,mean,elu,4;42.0;0.334;0.335
const,max,elu,4,32,gcn,mlp,elu,8;10.0;0.29600000000000004;0.308
const,max,elu,4,64,cos,mean,elu,2;79.0;0.52;0.515
const,max,elu,4,64,gat_sym,mlp,relu,1;19.0;0.622;0.639
const,max,elu,6,128,const,mlp,leaky_relu,1;123.0;0.5579999999999999;0.5820000000000001
const,max,elu,6,128,const,mlp,tanh,2;79.0;0.66;0.6559999999999999
const,max,elu,6,128,gat,mlp,leaky_relu,6;19.0;0.484;0.469
const,max,elu,6,16,gat,mean,linear,4;42.0;0.302;0.309
const,max,elu,6,16,gcn,sum,elu,4;79.0;0.638;0.6629999999999999
const,max,elu,6,16,linear,mlp,linear,4;42.0;0.546;0.569
const,max,elu,6,256,gcn,sum,linear,2;42.0;0.636;0.6709999999999999
const,max,elu,6,32,const,sum,tanh,2;10.0;0.662;0.6679999999999999
const,max,elu,6,32,gcn,mean,leaky_relu,16;123.0;0.35600000000000004;0.385
const,max,elu,6,32,gcn,mean,leaky_relu,6;79.0;0.332;0.321
