arch;seed;val_score;test_score
const,max,elu,1,128,cos,sum,elu,6;123.0;0.772;0.77
const,max,elu,1,128,cos,sum,relu6,6;123.0;0.648;0.7070000000000001
const,max,elu,1,128,gat,mlp,leaky_relu,1;19.0;0.738;0.753
const,max,elu,1,128,gat,sum,leaky_relu,16;10.0;0.7559999999999999;0.758
const,max,elu,1,128,generalized_linear,sum,linear,8;123.0;0.784;0.787
const,max,elu,1,16,const,mlp,softplus,6;79.0;0.606;0.621
const,max,elu,1,16,generalized_linear,sum,tanh,1;10.0;0.772;0.7909999999999999
const,max,elu,1,32,cos,max,leaky_relu,6;79.0;0.316;0.319
const,max,elu,1,32,cos,sum,sigmoid,6;123.0;0.444;0.629
const,max,elu,1,32,gat,max,leaky_relu,2;79.0;0.6779999999999999;0.721
const,max,elu,1,4,cos,max,leaky_relu,16;42.0;0.316;0.319
const,max,elu,1,64,const,mean,tanh,6;42.0;0.522;0.574
const,max,elu,1,64,const,sum,linear,4;19.0;0.748;0.772
const,max,elu,1,64,gat,sum,tanh,4;42.0;0.79;0.7979999999999999
const,max,elu,1,64,gat_sym,sum,relu,1;19.0;0.78;0.7979999999999999
const,max,elu,1,8,gat,mlp,relu,16;123.0;0.262;0.282
const,max,elu,1,8,generalized_linear,mlp,linear,1;10.0;0.612;0.621
const,max,elu,1,8,linear,sum,linear,1;10.0;0.6679999999999999;0.657
const,max,elu,16,128,const,max,tanh,6;79.0;0.738;0.764
const,max,elu,16,128,gcn,mean,softplus,16;10.0;0.7410000000000001;0.7555000000000001
const,max,elu,16,16,gat_sym,mean,relu,8;79.0;0.384;0.35850000000000004
const,max,elu,16,256,gat,sum,tanh,6;123.0;0.794;0.816
const,max,elu,16,32,generalized_linear,max,leaky_relu,6;123.0;0.682;0.7180000000000001
const,max,elu,16,4,gat,mean,linear,2;79.0;0.716;0.7509999999999999
const,max,elu,16,4,gcn,mlp,relu,1;123.0;0.27;0.281
const,max,elu,16,4,generalized_linear,mean,sigmoid,4;79.0;0.273;0.3515
const,max,elu,16,64,const,mlp,elu,6;42.0;0.7020000000000001;0.705
const,max,elu,16,64,const,sum,leaky_relu,1;19.0;0.802;0.794
const,max,elu,16,8,gcn,sum,elu,16;19.0;0.812;0.825
const,max,elu,2,128,const,sum,relu6,8;79.0;0.774;0.794
const,max,elu,2,128,cos,sum,elu,6;123.0;0.7559999999999999;0.784
const,max,elu,2,128,gat,mean,leaky_relu,4;42.0;0.316;0.319
const,max,elu,2,128,gat_sym,max,softplus,8;42.0;0.316;0.319
const,max,elu,2,16,gat_sym,sum,leaky_relu,6;42.0;0.75;0.782
const,max,elu,2,16,gat_sym,sum,sigmoid,8;79.0;0.546;0.574
const,max,elu,2,256,gat,sum,linear,2;123.0;0.778;0.804
const,max,elu,2,256,gcn,sum,linear,1;123.0;0.792;0.825
const,max,elu,2,64,const,sum,linear,4;19.0;0.752;0.77
const,max,elu,2,64,cos,max,linear,6;19.0;0.73;0.727
const,max,elu,2,64,linear,sum,elu,2;10.0;0.7879999999999999;0.807
const,max,elu,2,8,gat,max,elu,16;42.0;0.07200000000000001;0.091
