mode;seed;dataset;optimizer;index
macro;10;cora;RL;67609
macro;10;cora;RL;20880
macro;10;cora;RL;63606
macro;10;cora;RL;60888
macro;10;cora;RL;59208
macro;10;cora;RL;55288
macro;10;cora;RL;57347
macro;10;cora;RL;5545
macro;10;cora;RL;71432
macro;10;cora;RL;52012
macro;10;cora;RL;29295
macro;10;cora;RL;2882
macro;10;cora;RL;25017
macro;10;cora;RL;71164
macro;10;cora;RL;88991
macro;10;cora;RL;35995
macro;10;cora;RL;9722
macro;10;cora;RL;64860
macro;10;cora;RL;78890
macro;10;cora;RL;53432
macro;10;cora;RL;72337
macro;10;cora;RL;84157
macro;10;cora;RL;80290
macro;10;cora;RL;1867
macro;10;cora;RL;75096
macro;10;cora;RL;58611
macro;10;cora;RL;66554
macro;10;cora;RL;45982
macro;10;cora;RL;54119
macro;10;cora;RL;59664
macro;10;cora;RL;52964
macro;10;cora;RL;50241
macro;10;cora;RL;72128
macro;10;cora;RL;13383
macro;10;cora;RL;53574
macro;10;cora;RL;23247
macro;10;cora;RL;73336
macro;10;cora;RL;52379
macro;10;cora;RL;51365
macro;10;cora;RL;27841
macro;10;cora;RL;39676
macro;10;cora;RL;84354
macro;10;cora;RL;37478
macro;10;cora;RL;81802
macro;10;cora;RL;57826
macro;10;cora;RL;62747
macro;10;cora;RL;19256
macro;10;cora;RL;33081
macro;10;cora;RL;81668
macro;10;cora;RL;75771
macro;10;cora;RL;10274
macro;10;cora;RL;68260
macro;10;cora;RL;19831
macro;10;cora;RL;81078
macro;10;cora;RL;57525
macro;10;cora;RL;88500
macro;10;cora;RL;66073
macro;10;cora;RL;86349
macro;10;cora;RL;76798
macro;10;cora;RL;55168
macro;10;cora;RL;86666
macro;10;cora;RL;66289
macro;10;cora;RL;71655
macro;10;cora;RL;41310
macro;10;cora;RL;54666
macro;10;cora;RL;18325
macro;10;cora;RL;57754
macro;10;cora;RL;42062
macro;10;cora;RL;2166
macro;10;cora;RL;77871
macro;10;cora;RL;80174
macro;10;cora;RL;915
macro;10;cora;RL;55086
macro;10;cora;RL;46846
macro;10;cora;RL;14767
macro;10;cora;RL;44766
macro;10;cora;RL;30701
macro;10;cora;RL;78354
macro;10;cora;RL;41743
macro;10;cora;RL;56949
macro;10;cora;RL;36152
macro;10;cora;RL;19326
macro;10;cora;RL;46409
macro;10;cora;RL;50347
macro;10;cora;RL;75978
macro;10;cora;RL;17566
macro;10;cora;RL;24809
macro;10;cora;RL;33642
macro;10;cora;RL;42542
macro;10;cora;RL;79455
macro;10;cora;RL;65709
macro;10;cora;RL;69435
macro;10;cora;RL;53553
macro;10;cora;RL;1689
macro;10;cora;RL;35218
macro;10;cora;RL;7164
macro;10;cora;RL;87530
macro;10;cora;RL;81358
macro;10;cora;RL;28429
macro;10;cora;RL;63246
macro;10;cora;RL;36613
macro;10;cora;RL;16274
macro;10;cora;RL;33136
macro;10;cora;RL;27498
macro;10;cora;RL;69350
macro;10;cora;RL;78927
macro;10;cora;RL;62
macro;10;cora;RL;2598
macro;10;cora;RL;44540
macro;10;cora;RL;8710
macro;10;cora;RL;22325
macro;10;cora;RL;71664
macro;10;cora;RL;16214
macro;10;cora;RL;75723
macro;10;cora;RL;9919
macro;10;cora;RL;47308
macro;10;cora;RL;84558
macro;10;cora;RL;45216
macro;10;cora;RL;48142
macro;10;cora;RL;30750
macro;10;cora;RL;66536
