arch;seed;val_score;test_score
const,max,elu,1,128,cos,sum,elu,1;42.0;0.782;0.759
const,max,elu,1,128,gat,mlp,leaky_relu,1;19.0;0.872;0.882
const,max,elu,1,128,gat_sym,sum,tanh,1;79.0;0.8;0.777
const,max,elu,1,16,const,mlp,softplus,6;79.0;0.866;0.856
const,max,elu,1,4,gcn,sum,relu,8;19.0;0.584;0.645
const,max,elu,1,4,linear,sum,tanh,16;79.0;0.536;0.561
const,max,elu,1,64,const,sum,elu,1;42.0;0.7959999999999999;0.7859999999999999
const,max,elu,1,64,generalized_linear,sum,tanh,4;79.0;0.802;0.78
const,max,elu,16,128,const,max,tanh,6;79.0;0.8640000000000001;0.878
const,max,elu,16,128,const,mean,tanh,16;10.0;0.7859999999999999;0.773
const,max,elu,16,128,gat_sym,mean,tanh,16;10.0;0.562;0.552
const,max,elu,16,128,gcn,mean,softplus,16;10.0;0.518;0.485
const,max,elu,16,128,gcn,mean,tanh,1;10.0;0.806;0.778
const,max,elu,16,128,gcn,mean,tanh,16;10.0;0.7958947368421052;0.7709473684210524
const,max,elu,16,128,gcn,mlp,tanh,16;10.0;0.79;0.7765
const,max,elu,16,128,generalized_linear,mlp,elu,2;79.0;0.7;0.684
const,max,elu,16,16,cos,mean,elu,2;79.0;0.568;0.588
const,max,elu,16,16,gat_sym,mean,relu,8;79.0;0.40800000000000003;0.4365
const,max,elu,16,16,gat_sym,sum,linear,4;19.0;0.768;0.74
const,max,elu,16,256,gcn,sum,tanh,16;79.0;0.0;0.0
const,max,elu,16,256,linear,mean,tanh,2;42.0;0.0;0.0
const,max,elu,16,32,gcn,mlp,tanh,2;19.0;0.78;0.765
const,max,elu,16,32,generalized_linear,max,leaky_relu,6;123.0;0.416;0.407
const,max,elu,16,4,gcn,mlp,relu,1;123.0;0.516;0.536
const,max,elu,16,4,generalized_linear,mean,sigmoid,4;79.0;0.382;0.4365
const,max,elu,16,64,const,max,relu6,8;42.0;0.78;0.758
const,max,elu,16,64,const,mlp,elu,6;42.0;0.762;0.753
const,max,elu,16,64,const,sum,relu6,8;42.0;0.696;0.6832
const,max,elu,16,64,gat_sym,sum,relu6,8;42.0;0.7586666666666666;0.743
const,max,elu,2,128,const,sum,relu6,8;79.0;0.86;0.872
const,max,elu,2,128,cos,sum,linear,2;79.0;0.768;0.738
const,max,elu,2,128,gcn,sum,elu,2;123.0;0.754;0.718
const,max,elu,2,16,cos,sum,tanh,16;79.0;0.7859999999999999;0.7709999999999999
const,max,elu,2,16,gcn,sum,linear,6;123.0;0.782;0.7440000000000001
const,max,elu,2,256,gat,mean,linear,2;42.0;0.602;0.605
const,max,elu,2,256,gcn,mlp,relu,8;79.0;0.29600000000000004;0.413
const,max,elu,2,4,const,sum,elu,1;42.0;0.782;0.778
const,max,elu,2,4,generalized_linear,sum,linear,6;42.0;0.5660000000000001;0.5820000000000001
const,max,elu,2,64,cos,max,linear,6;19.0;0.858;0.87
const,max,elu,2,64,gcn,sum,tanh,2;10.0;0.79;0.767
const,max,elu,2,8,const,mlp,sigmoid,4;19.0;0.552;0.526
const,max,elu,2,8,const,sum,elu,2;123.0;0.778;0.753
const,max,elu,2,8,const,sum,elu,8;123.0;0.794;0.773
const,max,elu,2,8,const,sum,tanh,2;123.0;0.782;0.7759999999999999
const,max,elu,2,8,gat_sym,sum,relu6,2;123.0;0.7659999999999999;0.777
const,max,elu,2,8,gat_sym,sum,sigmoid,6;79.0;0.87;0.852
const,max,elu,4,128,const,mean,relu,6;123.0;0.7020000000000001;0.7070000000000001
const,max,elu,4,128,const,sum,tanh,1;42.0;0.81;0.7879999999999999
const,max,elu,4,128,gat_sym,mean,elu,4;79.0;0.522;0.536
const,max,elu,4,16,cos,sum,linear,2;19.0;0.784;0.774
const,max,elu,4,16,gat,mlp,tanh,6;79.0;0.8859999999999999;0.8640000000000001
const,max,elu,4,16,gat_sym,max,tanh,1;10.0;0.738;0.7559999999999999
const,max,elu,4,16,gcn,sum,linear,4;19.0;0.7859999999999999;0.755
const,max,elu,4,256,gcn,mean,relu,6;42.0;0.196;0.18
const,max,elu,4,256,generalized_linear,mean,elu,4;42.0;0.5579999999999999;0.531
const,max,elu,4,32,gat,sum,elu,1;42.0;0.758;0.7559999999999999
const,max,elu,4,32,linear,max,leaky_relu,2;79.0;0.54;0.523
const,max,elu,4,32,linear,sum,relu,16;79.0;0.7559999999999999;0.731
const,max,elu,4,32,linear,sum,tanh,4;79.0;0.7959999999999999;0.775
const,max,elu,4,4,cos,sum,leaky_relu,2;42.0;0.7859999999999999;0.762
const,max,elu,4,64,cos,mean,elu,2;79.0;0.444;0.464
